name;ingredients;ingredients_amount;location;servings;time;file_path
Tabbouleh;Bulgur,Cucumber,Tomato,Salt,Parsley,Mint,Scallions,Olive Oil,Lemon Juice,Garlic;1/2 cup ,1 cup ,1 cup ,1 tsp ,3 bunches ,1/3 cup ,1/3 cup ,1/3 cup ,3 to 4 tbsp ,2 cloves ;1. Cook or soak the bulgur until tender, according to package directions. Drain excess water. 2. Combine the diced cucumber and tomato in a medium bowl, along with 1/2 tsp of the salt. Stir and let rest for at least 10 minutes. 3. Cut the thick stems off the parsley. Finely chop the leaves and remaining stems. 4. Add the cooled bulgur, chopped fresh mint, and green onion to the parsley. Strain off. 5. In a small measuring cup or bowl, whisk together the olive oil, the lemon juice, the garlic, and the remaining salt.  6. If possible, let the salad rest for 15 minutes before serving. ;Lebanon;16;45 minutes;recipe-book-main\Recipes\African\Lebanon\Tabbouleh.md
Tamarind Balls;Tamarind Pulp,Dates,Sugar,Vanilla Extract,Salt,Sugar;6 oz ,1/4 cup ,1/4 cup ,1/2 tsp ,,3 tbsp ;1. Break the tamarind pulp into very small bits using your fingers. 2. Transfer to a food processor. Add the dates, granulated sugar, vanilla, and a pinch of salt, and process until the ingredients are very finely chopped. (�45 seconds). 3. Place the large-crystal sugar into a wide, shallow bowl. Roll 2-tsp portions of the tamarind mixture into 18 balls, gently pressing as you roll to help them cohere. 4. Roll the balls in the crystal sugar, pressing gently to help it adhere. ;African;118;15 minutes;recipe-book-main\Recipes\African\Tamarind Balls.md
Chicken Enchiladas Verdes;Chicken Breast,Yellow Onion,Salt,Corn Tortilla,Salsa Verde,Cheese,Sour Cream,Cilantro;2 boneless ,1 ,1 tsp ,18 white ,3 cups ,1 cup crumbled ,,;1. Preheat oven to 400F 2. Place the chicken breasts in a stock pot along with 1/2 an onion and salt and cover with water. Bring to a boil and simmer until cooked through. 3. Remove chicken from the water and let cool slightly. Shred chicken with two forks, and set aside. 4. Mince the remaining onion, and add to the shredded chicken. 5. In batches, place 6 tortillas on a microwave safe dish, and microwave 40 to 50 seconds to make them pliable and less liable to crack. Keep them covered by  dish cloth to stay warm, then working one by one dip each warm tortilla in green salsa. Scoop two rounded tablespoons into each tortilla and roll tightly and place in a large casserole dish, seam side down, in a single layer. Repeat with the remaining tortillas and chicken. 6. Drench entire pan with 1 cup sauce and sprinkle with crumbled queso fresco. 7. Bake, covered in oven for 25 to 30 minutes. Remove from oven and serve with sour cream or additional queso fresco, if desired.  ;Mexican;1;0;recipe-book-main\Recipes\American\Mexican\Chicken Enchiladas Verdes.md
Chile Colorado;Ancho Chiles,Guajillo chiles,Chicken Broth,Yellow Onion,Oregano,Cumin,Garlic Powder,Paprika,Beef Shoulder,Beef Butt,Flour,Oil,Bay Leaves,Lime,Corn Starch Slurry,Salt,Tortilla;4 ,5 ,4 cups ,1 small ,2 tsp ,1 1/2 tsp ,1 tsp ,1 tsp ,2 1/2 lbs stew meat, or cubed ,[!note] Can be substituted for ,3 tbsp ,2 tbsp ,1 ,1 small ,, Meanwhile, season the meat. Season on all sides with , Serve with ;1. Remove the meat from the fridge and cut it into 2cm cubes, and set aside. 2. Remove the stems from the dried chiles while rinsing them under cold water. Place in a saucepan, and cover with broth. Bring to a boil, then reduce heat and simmer, uncovered, for 20 minutes. 3. Meanwhile, season the meat. Season on all sides with Salt and Black Pepper and sprinkle with flour. Add oil to a skillet on medium high heat. Add the meat and cook until browned on both sides.  4. Remove meat to a plate and set aside. Add onion and jalapeno to the pan and saut�e. 5. Add the broth with peppers into a blender, along with the saut�ed onion and jalapeno, and blend until smooth. 6. Return the beef to the pot. Strain the chili sauce from the blender through a fine mesh strainer into the pot. Add oregano, cumin, paprika, garlic powder, and stir. Add bay leaf. 7. Bring to a slow boil, then reduce the heat to low. Cover and simmer for about an hour. 8. Stir in lime juice and cornstarch slurry. Cook for a few minutes until the sauce has thickened. 9. Serve with Tortilla for dipping, and a side of Rice and Beans. ;Mexican;16;1 hour, 45 minutes;recipe-book-main\Recipes\American\Mexican\Chile Colorado.md
Chimichurri;Red pepper,Red Onion,Oregano,Garlic,Parsley,Oregano,Olive Oil,Red Wine Vinegar;1 ,1 ,15g ,1 clove ,15g ,1 tsp ,6 tbsp ,2 tbsp ;1. Cut the stem off of the red pepper. Halve it lengthwise, and remove the seeds. Cut up the meat. 2. Roughly dice the onions, and take the leaves off the fresh oregano. 3. Put all of the ingredients in a tall cup and blend it until the ingredients are still visible, but the mixture is stil homogenous. ;Mexican;1;0;recipe-book-main\Recipes\American\Mexican\Chimichurri.md
Bacon-Wrapped Cocktail Sausages;Cocktail Sausages,Bacon,Brown Sugar,Oven;14 oz ,12 oz ,3/4 cup ,Requirements: ;1. Preheat your oven to 325F, and line a baking sheet with aluminium foil. Using a pair of kitchen shears, cut the slab of bacon into thirds. 2. Wrap 1/3 of each slice of bacon around each sausage, secure with a toothpick, and place on the baking sheet. Repeat with the remaining sausages and bacon. 3. Sprinkle brown sugar over sausages and bake at 325 for �45 minutes, or until the bacon has cooked and is starting to brown. ;USA;1;�1 hour;recipe-book-main\Recipes\American\USA\Bacon-Wrapped Cocktail Sausages.md
Broccoli & Cheese-stuffed Chicken Breasts;Chicken Breast,Cajun Seasoning,Broccoli,Cheddar Cheese,Cream Cheese;4 ,2 tbsp ,1 cup ,1/2 cup ,3 tbsp ;1. Preheat the oven to 375 degrees F. 2. Butterfly the chicken breasts. 3. Use salt and cajun seasoning on both sides of the chicken. 4. Combine the broccoli, cheddar, and cream cheese in a mixing bowl. 5. Stuff each chicken breast with the filling. Sprinkle more cajun seasoning on top. 6. Brush with oil on top, and bake for 25-30 minutes (or until the chicken is cooked through). 7. Serve hot. ;USA;14;40 minutes;recipe-book-main\Recipes\American\USA\Broccoli & Cheese-stuffed Chicken Breasts.md
Chicken Parmesan;Chicken Thigh Fillet,Yellow Onion,Button Mushrooms,Garlic,Chicken Broth,Cooking Cream,Pasta,Cheese,Parsley,Butter,Black Pepper;4 ,1 ,250g ,4 cloves ,500ml ,250ml ,250g ,135g ,15g ,[!note] If for whatever reason you do not want to use cooking cream, this can be substituted by 250ml of chicken broth and �30g of , Flavour the chicken thighs with salt and ;1. Flavour the chicken thighs with salt and Black Pepper. Mince the onion and slice the mushrooms. 2. Heat 1 1/2 tbsp oil in a pan, and fry the onion until glassy. Press the garlic, and add to the onion along with the mushrooms. Cook the mixture for two minutes. 3. Add the chicken stock, the cooking cream, and some salt and pepper. Add the pasta, and turn the fire to low. Simmer for 15 minutes, until the pasta is al dente. 4. Stir the parmesan through the pasta until it melts.  5. Heat a spoo of olive oil in a frying pan and fry the chicken on both sides for about 2-3 minutes per side, until they are golden brown. Cut into strips, and divide over the pasta. 6. Garnish with parsley and extra parmesan. ;USA;13;0;recipe-book-main\Recipes\American\USA\Chicken Parmesan.md
Cranberry Meatballs;Meatballs,Chilli Sauce,Jelleid Cranberry Sauce,Orange Juice,Brown Sugar,Parsley,Slow Cooker;2 lbs frozen pre-cooked ,12 oz ,14 oz ,2 tbsp ,1 tbsp ,*1 tbsp ,Requirements: ;1. Place the cranberry sauce in a bowl, and microwave at 45 second intervals until just melted. 2. Whisk in the chilli sauce, orange juice and brown sugar; stir until mostly smooth. 3. Place the meatballs in a slow cooker and pour the sauce over them. 4. Cook for 4 hours on low in a slow cooker, then serve, *garnished with parsley*. ;USA;110;4 hours 15 minutes;recipe-book-main\Recipes\American\USA\Cranberry Meatballs.md
Italian Sausage Stuffed Peppers;Sweet Italian Sausage,Yellow Onion,Garlic,Italian Seasoning,Cajun Seasoning,Salt,Black Pepper,Crushed Red Pepper Flakes,Tomato,Chicken Broth,Long-grain Rice,Bell Pepper,Italian Cheese,Parsley;1 lb ,1 medium ,2 cloves ,1 1/2 tsp ,1 tsp ,1/2 tsp ,1/2 tsp ,1/2 tsp ,14 1/2 oz fire-roasted diced ,1/3 cup ,1 1/2 cups ,4 ,1 cup ,Fresh ;1. Cook the sausage and onion in a large nonstick skillet, breaking the sausage apart as it cooks. 2. When the sausage is cooked, add the garlic, Italian seasoning, cajun/creole seasoning, salt, pepper, and red pepper flakes. Cook for one minute. 3. Stir in the diced tomatoes, chicken broth, and rice. Cook for one minute, and then remove from heat. 4. Preheat the oven to 375 degrees, and grease a rimmed baking sheet. 5. Cut the bell peppers in half, and remove and discard the seeds and ribs. 6. Place the pepper halves on the prepared baking sheet, and fill with the filling. Sprinkle the Italian cheese on top. 7. Spray a piece of foil with cooking spray, and cover the peppers with it. 8. Bake for 30 minutes. Remove the foil, and broil until the cheese is bubbly. 9. Garnish with chopped parsley, and serve. ;USA;18;�1 hour;recipe-book-main\Recipes\American\USA\Italian Sausage Stuffed Peppers.md
